gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
1e-10,5.000000019251847e-06,3.9643991932189085e-06,-1.3387662906672591e-05,1.5404795536384103e-05,2.0171326297115503e-06,9.999999999999995e-11,4.806089348447373e-09,3.551062378545266e-08
1.7575106248547894e-10,5.000000026348619e-06,3.965379636048821e-06,-1.341138110349199e-05,1.543224939841522e-05,2.0208682949233192e-06,1.7575106248547894e-10,4.8153969250699646e-09,3.6235859910493866e-08
3.0888435964774845e-10,4.999999957185958e-06,3.966731491694626e-06,-1.3444309367656984e-05,1.5470364045427758e-05,2.0260546777708277e-06,3.088843596477484e-10,4.828322344002625e-09,3.982094480405737e-08
5.428675439323858e-10,4.999999953667157e-06,3.9738185993956256e-06,-1.3614110022457017e-05,1.5666898647417855e-05,2.0527886249608232e-06,5.42867543932386e-10,4.894969863060656e-09,2.5368280164216044e-08
9.540954763499923e-10,5.00000033224344e-06,3.981914576147961e-06,-1.380961254385368e-05,1.5893178389959893e-05,2.0835658461062567e-06,9.54095476349993e-10,4.971783759360229e-09,2.5429818264452797e-08
1.6768329368110102e-09,4.9999998036936656e-06,3.996371704940436e-06,-1.4159329861833104e-05,1.6297920322186857e-05,2.138590460353798e-06,1.6768329368110107e-09,5.1093236205318315e-09,2.5297941025049865e-08
2.9470517025518102e-09,4.999999853050464e-06,4.038087438431288e-06,-1.5171332142343716e-05,1.746893071119738e-05,2.2975985688537886e-06,2.9470517025518123e-09,5.508287680096757e-09,2.0065135193700055e-08
5.1794746792312025e-09,5.0000000000119935e-06,4.0569114799589056e-06,-1.5632800898016125e-05,1.8002880611566094e-05,2.3700797135498912e-06,5.179474679231208e-09,5.6909215652099706e-09,2.749060858948276e-08
9.102981779915229e-09,4.99999997215062e-06,4.2465858108859805e-06,-2.0232442052590014e-05,2.3322504966227197e-05,3.090062913636962e-06,9.102981779915235e-09,7.530762952435787e-09,1.6690233905528868e-08
1.5998587196060573e-08,4.99999999465659e-06,4.264928777647846e-06,-2.068303436080984e-05,2.384359225657684e-05,3.160557895767052e-06,1.5998587196060596e-08,7.713738311144282e-09,2.6701941641838667e-08
2.8117686979742307e-08,4.999999997402468e-06,4.113250537712239e-06,-1.7045898486230112e-05,1.963808434393355e-05,2.592185857703439e-06,2.8117686979742304e-08,6.253904034976267e-09,7.754522381798096e-08
4.941713361323839e-08,4.999999984820285e-06,4.400397985341058e-06,-2.3967544094661147e-05,2.764051129686971e-05,3.672967202208562e-06,4.941713361323847e-08,9.05785421931321e-09,5.259165838867584e-08
8.68511373751352e-08,4.999999738854098e-06,1.2081672155268171e-05,-0.0002236176700396,0.0002562616329394,3.264396289980139e-05,8.685113737513507e-08,1.6549771757060416e-07,6.629205459983351e-09
1.5264179671752333e-07,4.999999991551881e-06,1.0135178512204234e-05,-0.0001721958436003,0.0001977347834877,2.5538939887412404e-05,1.526417967175234e-07,1.0412705479327559e-07,1.4515502315257481e-08
2.682695795279728e-07,5.000000000777185e-06,8.877731348691534e-06,-0.0001394328911151,0.0001603158471933,2.0882956078197376e-05,2.682695795279729e-07,7.514169095672677e-08,2.9992910493916976e-08
4.71486636345739e-07,4.99999999276052e-06,1.1935255208765972e-05,-0.0002254321608315,0.0002582213964656,3.278923563414411e-05,4.714866363457386e-07,1.661827654682903e-07,3.389061291570635e-08
8.286427728546842e-07,4.999999997700438e-06,1.2935505391086147e-05,-0.000258299594334,0.0002953848978024,3.708530346848156e-05,8.286427728546836e-07,2.160653697767956e-07,5.142584222276705e-08
1.4563484775012444e-06,4.999999995051492e-06,9.047543312318688e-06,-0.0001556737718797,0.0001786659709092,2.2992199029520264e-05,1.4563484775012435e-06,8.750956319741636e-08,1.1614067683760401e-07
2.5595479226995334e-06,4.999999993325698e-06,1.0392610846147356e-05,-0.0002074408260469,0.0002373123660394,2.9871539992559208e-05,2.5595479226995325e-06,1.3645150524800806e-07,1.4807338549693244e-07
4.498432668969444e-06,4.999999997933131e-06,7.967392866646233e-06,-0.0001461013369612,0.000167276238584,2.1174901622737324e-05,4.498432668969443e-06,7.809356032989366e-08,2.329182701632391e-07
7.906043210907702e-06,5.000000001457515e-06,7.167519002857243e-06,-0.0001360888304782,0.0001554266905325,1.9337860054325235e-05,7.906043210907702e-06,7.00651091540883e-08,2.881453424891517e-07
1.389495494373136e-05,4.999999996287793e-06,5.5293374079841655e-06,-8.900798162600009e-05,0.0001013990141141,1.2391032488197696e-05,1.3894954943731364e-05,4.142951390850132e-08,3.2788261734526213e-07
2.4420530945486497e-05,4.999999991944161e-06,4.6583090960668e-06,-6.240194191772223e-05,7.074787816706655e-05,8.345936249344396e-06,2.442053094548651e-05,2.8341542677529097e-08,3.4033687830704414e-07
4.291934260128778e-05,4.999999994398876e-06,4.664702668880313e-06,-7.17915365532151e-05,8.0814710291701e-05,9.023173738486308e-06,4.291934260128781e-05,3.451876793896332e-08,3.4905328748001265e-07
7.543120063354608e-05,5.000000041426915e-06,4.197715170261735e-06,-4.799913431208589e-05,5.3722897947867184e-05,5.723763635781288e-06,7.543120063354601e-05,2.4141915597239683e-08,3.461673881304383e-07
0.000132571136559,5.000000010975814e-06,4.159261859050354e-06,-4.2967825211316405e-05,4.780854766041777e-05,4.8407224491012735e-06,0.000132571136559,2.4149312067641312e-08,3.46595620674854e-07
0.0002329951810515,4.999999993955237e-06,4.130607266900192e-06,-3.645286248076095e-05,4.036494327583511e-05,3.9120807950742535e-06,0.0002329951810515,2.410383092659345e-08,3.456296364110344e-07
0.000409491506238,5.000000007076476e-06,4.203081254442183e-06,-4.216083603437796e-05,4.645016607420824e-05,4.289330039830115e-06,0.000409491506238,3.4983894086518754e-08,3.49481101183296e-07
0.0007196856730011,4.999999993523625e-06,4.112131757291745e-06,-2.7766590637585225e-05,3.0484497886656906e-05,2.71790724907162e-06,0.0007196856730011,3.001650925410322e-08,3.436531996613525e-07
