gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
2.8117686979742307e-08,4.999999997402468e-06,4.113250537712239e-06,-1.7045898486230112e-05,1.963808434393355e-05,2.592185857703439e-06,2.8117686979742304e-08,6.253904034976267e-09,7.754522381798095e-08
4.9417133613238385e-08,4.999999984820285e-06,4.400397985341058e-06,-2.3967544094661147e-05,2.764051129686971e-05,3.672967202208562e-06,4.9417133613238465e-08,9.05785421931321e-09,5.2591658388675834e-08
8.68511373751352e-08,4.999999738854098e-06,1.2081672155268173e-05,-0.00022361767003963736,0.0002562616329394384,3.264396289980139e-05,8.685113737513507e-08,1.6549771757060414e-07,6.62920545998335e-09
1.5264179671752333e-07,4.999999991551881e-06,1.0135178512204234e-05,-0.00017219584360032736,0.0001977347834877394,2.5538939887412404e-05,1.526417967175234e-07,1.0412705479327558e-07,1.451550231525748e-08
2.6826957952797275e-07,5.000000000777185e-06,8.877731348691534e-06,-0.0001394328911151467,0.00016031584719334538,2.0882956078197376e-05,2.6826957952797286e-07,7.514169095672677e-08,2.999291049391697e-08
4.7148663634573897e-07,4.99999999276052e-06,1.1935255208765972e-05,-0.00022543216083150213,0.00025822139646564687,3.278923563414411e-05,4.7148663634573854e-07,1.661827654682903e-07,3.389061291570635e-08
8.286427728546842e-07,4.999999997700438e-06,1.2935505391086147e-05,-0.0002582995943340009,0.0002953848978024822,3.708530346848156e-05,8.286427728546836e-07,2.160653697767956e-07,5.142584222276704e-08
1.4563484775012444e-06,4.999999995051492e-06,9.047543312318688e-06,-0.000155673771879777,0.00017866597090929743,2.2992199029520264e-05,1.4563484775012435e-06,8.750956319741636e-08,1.1614067683760401e-07
2.5595479226995334e-06,4.999999993325698e-06,1.0392610846147357e-05,-0.00020744082604693353,0.00023731236603949225,2.9871539992559208e-05,2.5595479226995325e-06,1.3645150524800806e-07,1.4807338549693244e-07
4.498432668969444e-06,4.999999997933131e-06,7.967392866646233e-06,-0.00014610133696126788,0.0001672762385840054,2.1174901622737324e-05,4.498432668969443e-06,7.809356032989365e-08,2.329182701632391e-07
