gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
1e-10,5.000000019251847e-06,3.9643991932189085e-06,-1.3387662906672591e-05,1.5404795536384103e-05,2.0171326297115503e-06,9.999999999999996e-11,4.806089348447373e-09,3.551062378545266e-08
1.7575106248547894e-10,5.000000026348619e-06,3.965379636048821e-06,-1.341138110349199e-05,1.543224939841522e-05,2.0208682949233192e-06,1.7575106248547894e-10,4.8153969250699646e-09,3.6235859910493866e-08
3.088843596477485e-10,4.999999957185958e-06,3.966731491694626e-06,-1.3444309367656984e-05,1.5470364045427758e-05,2.0260546777708273e-06,3.0888435964774845e-10,4.828322344002625e-09,3.982094480405737e-08
5.428675439323859e-10,4.999999953667157e-06,3.9738185993956256e-06,-1.3614110022457017e-05,1.5666898647417855e-05,2.0527886249608232e-06,5.42867543932386e-10,4.894969863060656e-09,2.5368280164216044e-08
9.540954763499925e-10,5.00000033224344e-06,3.981914576147961e-06,-1.380961254385368e-05,1.5893178389959893e-05,2.0835658461062567e-06,9.54095476349993e-10,4.971783759360229e-09,2.5429818264452793e-08
1.67683293681101e-09,4.9999998036936656e-06,3.996371704940436e-06,-1.4159329861833104e-05,1.6297920322186857e-05,2.138590460353798e-06,1.6768329368110107e-09,5.1093236205318315e-09,2.5297941025049865e-08
2.94705170255181e-09,4.999999853050464e-06,4.038087438431288e-06,-1.5171332142343716e-05,1.746893071119738e-05,2.2975985688537886e-06,2.9470517025518123e-09,5.508287680096757e-09,2.0065135193700058e-08
5.179474679231202e-09,5.0000000000119935e-06,4.0569114799589056e-06,-1.5632800898016125e-05,1.8002880611566094e-05,2.3700797135498912e-06,5.179474679231208e-09,5.69092156520997e-09,2.7490608589482758e-08
9.102981779915227e-09,4.99999997215062e-06,4.2465858108859805e-06,-2.0232442052590014e-05,2.3322504966227193e-05,3.090062913636962e-06,9.102981779915237e-09,7.530762952435787e-09,1.6690233905528868e-08
1.5998587196060573e-08,4.99999999465659e-06,4.264928777647846e-06,-2.068303436080984e-05,2.3843592256576842e-05,3.1605578957670516e-06,1.5998587196060596e-08,7.713738311144282e-09,2.6701941641838667e-08
