gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
2.8117686979742307e-08,5.000000016250681e-06,2.0761782205260438e-06,-9.73339900861056e-06,1.2186563004835789e-05,2.453163996225256e-06,2.8117686979742304e-08,6.70624863240166e-09,4.999510421958751e-08
4.9417133613238385e-08,4.99999996189636e-06,2.2116539092996645e-06,-1.429743051520336e-05,1.7907075890508623e-05,3.6096453753053114e-06,4.9417133613238465e-08,1.017560664919782e-08,3.5729882267470994e-08
8.68511373751352e-08,4.999999981775179e-06,2.1719495316207592e-06,-1.3034050980249596e-05,1.632419991481167e-05,3.290148934562072e-06,8.685113737513507e-08,9.204777980051276e-09,6.721576746644844e-08
1.5264179671752333e-07,5.000000020437266e-06,6.7060636661131045e-06,-0.00018251187625127372,0.00022600228409324938,4.349040784197596e-05,1.526417967175234e-07,4.147134920749543e-07,5.313428118237592e-11
2.6826957952797275e-07,5.000000001399429e-06,4.888722859659412e-06,-0.00011604211400643306,0.00014429416100220785,2.825204699577439e-05,2.6826957952797286e-07,1.5094508952478994e-07,6.245702307482281e-09
4.7148663634573897e-07,4.999999991911013e-06,3.5973448313506834e-06,-6.655498339399619e-05,8.305523506450606e-05,1.6500251670509673e-05,4.7148663634573854e-07,6.297228076308446e-08,3.0701157606724676e-08
8.286427728546842e-07,4.999999992611938e-06,4.441809807434592e-06,-0.00010390299416410513,0.0001292352173362943,2.5332223172189043e-05,8.286427728546836e-07,1.2290503806905987e-07,2.3063632634997038e-08
1.4563484775012444e-06,4.9999999992247594e-06,4.896055974203135e-06,-0.00012994081731432981,0.00016120275644304621,3.1261939128716726e-05,1.4563484775012435e-06,1.8077765217546752e-07,2.0919642868900234e-08
2.5595479226995334e-06,4.999999996548806e-06,4.819597171456766e-06,-0.0001392198100910505,0.0001724050143704051,3.318520427935433e-05,2.5595479226995325e-06,2.0050675273385162e-07,2.569980397705469e-08
4.498432668969444e-06,5.000000001744025e-06,2.961464604785943e-06,-5.925095688010107e-05,7.366935436887073e-05,1.44183974887696e-05,4.498432668969443e-06,5.332489691672383e-08,1.508811792288045e-07
