gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
1e-10,4.999999967705237e-06,1.9894744241750484e-06,-6.775569724169677e-06,8.476084235086303e-06,1.70051451091662e-06,9.999999999999995e-11,4.530571037366054e-09,3.2561608549692114e-08
1.7575106248547894e-10,5.000000025349459e-06,1.989890374904899e-06,-6.789410332042727e-06,8.493456368108734e-06,1.7040460360660328e-06,1.7575106248547894e-10,4.5406298506023325e-09,3.2041645023423385e-08
3.0888435964774845e-10,4.999999956396341e-06,1.990411045768598e-06,-6.806966055630062e-06,8.515491380207061e-06,1.708525324576993e-06,3.088843596477484e-10,4.553392135748689e-09,3.5651538050412475e-08
5.428675439323858e-10,4.999999954815588e-06,1.9923518314052778e-06,-6.871248668300911e-06,8.596173238361057e-06,1.7249245700601264e-06,5.42867543932386e-10,4.600123594494863e-09,2.782565704911581e-08
9.540954763499923e-10,4.999999997003239e-06,1.996794117953715e-06,-7.018991344745819e-06,8.781600164805883e-06,1.7626088200600232e-06,9.54095476349993e-10,4.7076198697360615e-09,2.1654232470303663e-08
1.6768329368110102e-09,5.0000000265342485e-06,1.996797893234872e-06,-7.020423409429313e-06,8.783404604215827e-06,1.762981194786524e-06,1.6768329368110107e-09,4.70870531085946e-09,3.6013564454962486e-08
2.9470517025518102e-09,4.999999830719689e-06,2.008530372449076e-06,-7.412691980566733e-06,9.275625921640354e-06,1.8629339410736215e-06,2.9470517025518123e-09,4.9945897393641375e-09,2.6216290293667065e-08
5.1794746792312025e-09,4.99999999846909e-06,2.024412680024646e-06,-7.948167301498053e-06,9.947383245926949e-06,1.999215944428888e-06,5.179474679231208e-09,5.3861710724832035e-09,2.5368588071476374e-08
9.102981779915229e-09,4.999999913480475e-06,2.1146933052598697e-06,-1.1007282612136836e-05,1.3783656933178705e-05,2.7763743210419024e-06,9.102981779915235e-09,7.658500961660904e-09,1.2851178154908449e-08
1.5998587196060573e-08,4.999999992484502e-06,2.164241971009703e-06,-1.2668756859648549e-05,1.5866293379360773e-05,3.197536519712264e-06,1.5998587196060596e-08,8.919188008840677e-09,1.594596848194989e-08
2.8117686979742307e-08,5.000000016250681e-06,2.076178220526044e-06,-9.73339900861056e-06,1.2186563004835787e-05,2.453163996225256e-06,2.8117686979742304e-08,6.70624863240166e-09,4.999510421958751e-08
4.941713361323839e-08,4.99999996189636e-06,2.2116539092996645e-06,-1.429743051520336e-05,1.7907075890508623e-05,3.609645375305312e-06,4.941713361323847e-08,1.0175606649197821e-08,3.5729882267470994e-08
8.68511373751352e-08,4.999999981775179e-06,2.1719495316207592e-06,-1.3034050980249596e-05,1.632419991481167e-05,3.290148934562072e-06,8.685113737513507e-08,9.204777980051276e-09,6.721576746644844e-08
