gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
0.0022229964825261957,4.999999983209566e-06,1.6920224694130844e-06,-7.62839961394036e-05,8.765533663222832e-05,1.1371340492824758e-05,0.002222996482526196,2.134890182944842e-07,1.1841242859269152e-07
0.003906939937054613,5.000000004681352e-06,1.736513215353593e-06,-4.102207265993911e-05,4.692923588445202e-05,5.9071632245128865e-06,0.003906939937054612,1.4544865839164058e-07,2.169422392772422e-07
0.006866488450042998,4.999999996342804e-06,1.7666495633064557e-06,-2.7483903837453087e-05,3.130747028399596e-05,3.8235664465428835e-06,0.006866488450042996,1.2753166677515883e-07,2.5801795643621564e-07
0.012067926406393264,4.999999972802861e-06,1.8758149350610312e-06,-3.4814540687244965e-05,3.947198554410324e-05,4.6574448568582195e-06,0.012067926406393266,2.1738343657609678e-07,2.4459445266174174e-07
0.021209508879201925,5.000000051003735e-06,1.895759231309483e-06,-2.4805524393372957e-05,2.804836251914467e-05,3.242838125771706e-06,0.021209508879201925,2.1460780415074155e-07,2.7346067382986864e-07
0.03727593720314938,4.999999999829629e-06,1.9491040478684723e-06,-1.1209102301115428e-05,1.2681776176791943e-05,1.4726738756764995e-06,0.037275937203149374,1.404851981796333e-07,3.069467751680441e-07
0.06551285568595495,5.000000000382855e-06,1.996640641429044e-06,-7.037957557196583e-06,7.978761953748123e-06,9.408043965515529e-07,0.06551285568595495,1.3114943169909542e-07,3.1678365434925e-07
0.11513953993264481,5.000000001899597e-06,2.008974761047347e-06,-7.243990874722521e-06,8.221134094263977e-06,9.771432195414428e-07,0.11513953993264484,2.031522196147553e-07,3.154095517963868e-07
0.20235896477251555,4.9999999901234844e-06,2.0297091196021574e-06,-5.0640849365324525e-06,5.7991837447155885e-06,7.350988081831329e-07,0.20235896477251553,2.1733961756455254e-07,3.1889313572857344e-07
0.3556480306223121,5.0000000541729895e-06,2.053301715036868e-06,-4.512578416110684e-06,5.231558851856572e-06,7.189804357458864e-07,0.3556480306223121,2.9174101028565736e-07,3.1735851719858147e-07
