gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
1e-10,4.1777958259729965e-06,1.2953890960301787e-06,-3.6685574453749464e-06,4.356163283239433e-06,6.876058378644865e-07,9.999999999999996e-11,3.52174423624607e-09,1.4769813110118954
2.1544346900318866e-09,4.209436377980238e-06,1.3036882272003947e-06,-3.6697065691621062e-06,4.357452044956132e-06,6.877454757940253e-07,2.1544346900318837e-09,3.52174423624607e-09,1.4769813110118954
4.641588833612773e-08,4.884216210103706e-06,1.4804459827185408e-06,-3.6953398338347933e-06,4.386110506272077e-06,6.907706724372895e-07,4.6415888336127794e-08,3.52174423624607e-09,0.564571238903567
1e-06,1.3796871587803507e-05,3.7554318746935128e-06,-1.2101786343480533e-06,1.318234116537235e-06,1.0805548218918127e-07,1.0000000000000004e-06,6.208592616247643e-29,0.2970784119819923
