gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
2.8117686979742307e-08,4.999999897099779e-06,1.6585067646389301e-06,-8.323570317513616e-06,9.898393449259532e-06,1.5748231317459102e-06,2.8117686979742304e-08,8.50233476199274e-09,2.4157164578535608e-08
4.9417133613238385e-08,4.999999991552508e-06,1.6186795499117224e-06,-6.6011311339767225e-06,7.848067360182189e-06,1.2469362262054605e-06,4.9417133613238465e-08,6.616325475031815e-09,6.598667568676303e-08
8.68511373751352e-08,4.999999998637527e-06,1.713497599759598e-06,-1.0767427896447696e-05,1.280548476096291e-05,2.0380568645152157e-06,8.685113737513507e-08,1.125798048940202e-08,4.066212010236485e-08
1.5264179671752333e-07,4.9999998969090925e-06,1.71434917990409e-06,-1.093057462458353e-05,1.2999055924527159e-05,2.068481299943635e-06,1.526417967175234e-07,1.1451214489749508e-08,6.264167092649777e-08
2.6826957952797275e-07,4.999999997643337e-06,2.1592097176928336e-06,-3.289980261597892e-05,3.90393389046091e-05,6.139536288630215e-06,2.6826957952797286e-07,4.0731110658813436e-08,1.54247406336268e-08
4.7148663634573897e-07,4.999999998810127e-06,2.3090453872001143e-06,-4.291034540564596e-05,5.084101986977639e-05,7.930674464130388e-06,4.7148663634573854e-07,5.732975860119468e-08,1.0887302137488681e-08
8.286427728546842e-07,5.000000004306405e-06,1.9424612733550526e-06,-2.3849697966157206e-05,2.831144875072471e-05,4.461750784567502e-06,8.286427728546836e-07,2.7660000109807747e-08,6.981984372893445e-08
1.4563484775012444e-06,5.000000115147517e-06,1.944062921776719e-06,-2.6567649231289577e-05,3.150198818866131e-05,4.9343389573717425e-06,1.4563484775012435e-06,3.1466071560189466e-08,8.295686348197923e-08
2.5595479226995334e-06,4.99999999858232e-06,1.9699423151739745e-06,-3.384041606646056e-05,4.002931809698749e-05,6.188902030526917e-06,2.5595479226995325e-06,4.2202720659601954e-08,7.279091954249705e-08
4.498432668969444e-06,5.000000029453405e-06,1.9635962163717975e-06,-4.7121008625758526e-05,5.5504732513057944e-05,8.383723887299395e-06,4.498432668969443e-06,6.407967373388019e-08,3.2785823566187414e-08
